dataset_id,name,rawMapCategory,mapCategory,taskType,entityType,district,LayerKey
"OA-16760","서울시 영등포구 복합유통게임제공업 인허가 정보","문화/관광","문화관광","인허가","유통","영등포구","문화관광/인허가/유통"
"OA-16599","서울시 강북구 동물판매업 인허가 정보","산업/경제","산업경제","인허가","유통","강북구","산업경제/인허가/유통"
"OA-16176","서울시 금천구 병원 인허가 정보","보건","보건","인허가","병원","금천구","보건/인허가/병원"
"OA-16601","서울시 노원구 동물판매업 인허가 정보","산업/경제","산업경제","인허가","유통","노원구","산업경제/인허가/유통"
"OA-16663","서울시 강남구 사료제조업 인허가 정보","산업/경제","산업경제","인허가","사료제조업","강남구","산업경제/인허가/사료제조업"
"OA-16661","서울시 관악구 사료제조업 인허가 정보","산업/경제","산업경제","인허가","사료제조업","관악구","산업경제/인허가/사료제조업"
"OA-16665","서울시 강동구 사료제조업 인허가 정보","산업/경제","산업경제","인허가","사료제조업","강동구","산업경제/인허가/사료제조업"
"OA-16349","서울시 강서구 의료법인 인허가 정보","보건","보건","인허가","의료법인","강서구","보건/인허가/의료법인"
"OA-16014","서울시 게임물배급업 인허가 정보","문화/관광","문화관광","인허가","게임물배급업","citywide","문화관광/인허가/게임물배급업"
"OA-16696","서울시 동대문구 게임물제작업 인허가 정보","문화/관광","문화관광","인허가","게임물제작업","동대문구","문화관광/인허가/게임물제작업"
"OA-16540","서울시 강동구 동물약국 인허가 정보","보건","보건","인허가","약국","강동구","보건/인허가/약국"
"OA-16707","서울시 구로구 게임물제작업 인허가 정보","문화/관광","문화관광","인허가","게임물제작업","구로구","문화관광/인허가/게임물제작업"
"OA-16419","서울시 마포구 의료기기수리업 인허가 정보","보건","보건","인허가","의료기기수리업","마포구","보건/인허가/의료기기수리업"
"OA-17667","서울시 강서구 영화상영관 인허가 정보","문화/관광","문화관광","인허가","영화상영관","강서구","문화관광/인허가/영화상영관"
"OA-16290","서울시 광진구 안전상비의약품 판매업소 인허가 정보","보건","보건","인허가","유통","광진구","보건/인허가/유통"
"OA-16721","서울시 광진구 복합영상물제공업 인허가 정보","문화/관광","문화관광","인허가","복합영상물제공업","광진구","문화관광/인허가/복합영상물제공업"
"OA-16596","서울시 동대문구 동물판매업 인허가 정보","산업/경제","산업경제","인허가","유통","동대문구","산업경제/인허가/유통"
"OA-16734","서울시 금천구 복합영상물제공업 인허가 정보","문화/관광","문화관광","인허가","복합영상물제공업","금천구","문화관광/인허가/복합영상물제공업"
"OA-16722","서울시 동대문구 복합영상물제공업 인허가 정보","문화/관광","문화관광","인허가","복합영상물제공업","동대문구","문화관광/인허가/복합영상물제공업"
"OA-16595","서울시 광진구 동물판매업 인허가 정보","산업/경제","산업경제","인허가","유통","광진구","산업경제/인허가/유통"
"OA-16818","서울시 중구 청소년게임제공업 인허가 정보","문화/관광","문화관광","인허가","청소년게임제공업","중구","문화관광/인허가/청소년게임제공업"
"OA-17823","서울시 서초구 음반.음악영상물제작업 인허가 정보","문화/관광","문화관광","인허가","음반.음악영상물제작업","서초구","문화관광/인허가/음반.음악영상물제작업"
"OA-15995","서울시 종로구 병원 인허가 정보","보건","보건","인허가","병원","종로구","보건/인허가/병원"
"OA-16229","서울시 강서구 의원 인허가 정보","보건","보건","인허가","병원","강서구","보건/인허가/병원"
"OA-16236","서울시 강남구 의원 인허가 정보","보건","보건","인허가","병원","강남구","보건/인허가/병원"
"OA-16761","서울시 동작구 복합유통게임제공업 인허가 정보","문화/관광","문화관광","인허가","유통","동작구","문화관광/인허가/유통"
"OA-16275","서울시 마포구 산후조리업 인허가 정보","보건","보건","인허가","산후조리업","마포구","보건/인허가/산후조리업"
"OA-16748","서울시 중랑구 복합유통게임제공업 인허가 정보","문화/관광","문화관광","인허가","유통","중랑구","문화관광/인허가/유통"
"OA-16603","서울시 서대문구 동물판매업 인허가 정보","산업/경제","산업경제","인허가","유통","서대문구","산업경제/인허가/유통"
"OA-16513","서울시 강남구 동물병원 인허가 정보","보건","보건","인허가","병원","강남구","보건/인허가/병원"
"OA-18343","서울시 구로구 용기·포장지제조업 인허가 정보","보건","보건","인허가","용기·포장지제조업","구로구","보건/인허가/용기·포장지제조업"
"OA-18426","서울시 강동구 제과점영업 인허가 정보","보건","보건","인허가","제과점영업","강동구","보건/인허가/제과점영업"
"OA-16298","서울시 서대문구 안전상비의약품 판매업소 인허가 정보","보건","보건","인허가","유통","서대문구","보건/인허가/유통"
"OA-16612","서울시 서초구 동물판매업 인허가 정보","산업/경제","산업경제","인허가","유통","서초구","산업경제/인허가/유통"
"OA-16653","서울시 서대문구 사료제조업 인허가 정보","산업/경제","산업경제","인허가","사료제조업","서대문구","산업경제/인허가/사료제조업"
"OA-16591","서울시 종로구 동물판매업 인허가 정보","산업/경제","산업경제","인허가","유통","종로구","산업경제/인허가/유통"
"OA-16310","서울시 강동구 안전상비의약품 판매업소 인허가 정보","보건","보건","인허가","유통","강동구","보건/인허가/유통"
"OA-18281","서울시 광진구 식품첨가물제조업 인허가 정보","보건","보건","인허가","식품첨가물제조업","광진구","보건/인허가/식품첨가물제조업"
"OA-16638","서울시 강남구 가축사육업 인허가 정보","보건","보건","인허가","가축사육업","강남구","보건/인허가/가축사육업"
"OA-10193","서울시 중구 청소년 유해업소 현황","문화/관광","문화관광","정보","업소","중구","문화관광/정보/업소"
"OA-16328","서울시 영등포구 약국 인허가 정보","보건","보건","인허가","약국","영등포구","보건/인허가/약국"
"OA-17260","서울시 영등포구 노래연습장업 인허가 정보","문화/관광","문화관광","인허가","노래연습장업","영등포구","문화관광/인허가/노래연습장업"
"OA-17287","서울시 관악구 비디오물감상실업 인허가 정보","문화/관광","문화관광","인허가","비디오물감상실업","관악구","문화관광/인허가/비디오물감상실업"
"OA-17290","서울시 송파구 비디오물감상실업 인허가 정보","문화/관광","문화관광","인허가","비디오물감상실업","송파구","문화관광/인허가/비디오물감상실업"
"OA-16682","서울시 구로구 게임물배급업 인허가 정보","문화/관광","문화관광","인허가","게임물배급업","구로구","문화관광/인허가/게임물배급업"
"OA-17298","서울시 중랑구 비디오물배급업 인허가 정보","문화/관광","문화관광","인허가","비디오물배급업","중랑구","문화관광/인허가/비디오물배급업"
"OA-18382","서울시 동대문구 유통전문판매업 인허가 정보","산업/경제","산업경제","인허가","유통","동대문구","산업경제/인허가/유통"
"OA-16770","서울시 성동구 인터넷컴퓨터게임시설제공업 인허가 정보","문화/관광","문화관광","인허가","인터넷컴퓨터게임시설제공업","성동구","문화관광/인허가/인터넷컴퓨터게임시설제공업"
"OA-16376","서울시 영등포구 의료유사업 인허가 정보","보건","보건","인허가","의료유사업","영등포구","보건/인허가/의료유사업"
"OA-16386","서울시 광진구 안경업 인허가 정보","보건","보건","인허가","안경업","광진구","보건/인허가/안경업"
"OA-16656","서울시 강서구 사료제조업 인허가 정보","산업/경제","산업경제","인허가","사료제조업","강서구","산업경제/인허가/사료제조업"
"OA-16217","서울시 성동구 의원 인허가 정보","보건","보건","인허가","병원","성동구","보건/인허가/병원"
"OA-16397","서울시 강서구 안경업 인허가 정보","보건","보건","인허가","안경업","강서구","보건/인허가/안경업"
"OA-17416","서울시 양천구 관광숙박업 인허가 정보","문화/관광","문화관광","인허가","관광숙박업","양천구","문화관광/인허가/관광숙박업"
"OA-18306","서울시 광진구 식품판매업(기타) 인허가 정보","보건","보건","인허가","유통","광진구","보건/인허가/유통"
"OA-16688","서울시 강남구 게임물배급업 인허가 정보","문화/관광","문화관광","인허가","게임물배급업","강남구","문화관광/인허가/게임물배급업"
"OA-16790","서울시 송파구 인터넷컴퓨터게임시설제공업 인허가 정보","문화/관광","문화관광","인허가","인터넷컴퓨터게임시설제공업","송파구","문화관광/인허가/인터넷컴퓨터게임시설제공업"
"OA-16414","서울시 강북구 의료기기수리업 인허가 정보","보건","보건","인허가","의료기기수리업","강북구","보건/인허가/의료기기수리업"
"OA-16786","서울시 동작구 인터넷컴퓨터게임시설제공업 인허가 정보","문화/관광","문화관광","인허가","인터넷컴퓨터게임시설제공업","동작구","문화관광/인허가/인터넷컴퓨터게임시설제공업"
"OA-16775","서울시 강북구 인터넷컴퓨터게임시설제공업 인허가 정보","문화/관광","문화관광","인허가","인터넷컴퓨터게임시설제공업","강북구","문화관광/인허가/인터넷컴퓨터게임시설제공업"
"OA-16429","서울시 송파구 의료기기수리업 인허가 정보","보건","보건","인허가","의료기기수리업","송파구","보건/인허가/의료기기수리업"
"OA-16005","서울시 종로구 의료기기판매(임대)업 인허가 정보","보건","보건","인허가","의료기기판매(임대)업","종로구","보건/인허가/의료기기판매(임대)업"
"OA-16430","서울시 강동구 의료기기수리업 인허가 정보","보건","보건","인허가","의료기기수리업","강동구","보건/인허가/의료기기수리업"
"OA-16409","서울시 성동구 의료기기수리업 인허가 정보","보건","보건","인허가","의료기기수리업","성동구","보건/인허가/의료기기수리업"
"OA-16271","서울시 도봉구 산후조리업 인허가 정보","보건","보건","인허가","산후조리업","도봉구","보건/인허가/산후조리업"
"OA-16418","서울시 서대문구 의료기기수리업 인허가 정보","보건","보건","인허가","의료기기수리업","서대문구","보건/인허가/의료기기수리업"
"OA-16658","서울시 금천구 사료제조업 인허가 정보","산업/경제","산업경제","인허가","사료제조업","금천구","산업경제/인허가/사료제조업"
"OA-17798","서울시 서초구 음반.음악영상물배급업 인허가 정보","문화/관광","문화관광","인허가","음반.음악영상물배급업","서초구","문화관광/인허가/음반.음악영상물배급업"
"OA-16417","서울시 은평구 의료기기수리업 인허가 정보","보건","보건","인허가","의료기기수리업","은평구","보건/인허가/의료기기수리업"
"OA-16424","서울시 영등포구 의료기기수리업 인허가 정보","보건","보건","인허가","의료기기수리업","영등포구","보건/인허가/의료기기수리업"
"OA-18471","서울시 동작구 식용얼음판매업 인허가 정보","보건","보건","인허가","유통","동작구","보건/인허가/유통"
"OA-16660","서울시 동작구 사료제조업 인허가 정보","산업/경제","산업경제","인허가","사료제조업","동작구","산업경제/인허가/사료제조업"
"OA-22120","서울미래유산홈페이지 질의응답 정보","문화/관광","문화관광","정보","미래유산홈페이지","citywide","문화관광/정보/미래유산홈페이지"
"OA-16410","서울시 광진구 의료기기수리업 인허가 정보","보건","보건","인허가","의료기기수리업","광진구","보건/인허가/의료기기수리업"
"OA-17216","서울시 강동구 대중문화예술기획업 인허가 정보","문화/관광","문화관광","인허가","대중문화예술기획업","강동구","문화관광/인허가/대중문화예술기획업"
"OA-16803","서울시 은평구 일반게임제공업 인허가 정보","문화/관광","문화관광","인허가","일반게임제공업","은평구","문화관광/인허가/일반게임제공업"
"OA-17800","서울시 송파구 음반.음악영상물배급업 인허가 정보","문화/관광","문화관광","인허가","음반.음악영상물배급업","송파구","문화관광/인허가/음반.음악영상물배급업"
"OA-16675","서울시 도봉구 게임물배급업 인허가 정보","문화/관광","문화관광","인허가","게임물배급업","도봉구","문화관광/인허가/게임물배급업"
"OA-16809","서울시 금천구 일반게임제공업 인허가 정보","문화/관광","문화관광","인허가","일반게임제공업","금천구","문화관광/인허가/일반게임제공업"
"OA-18424","서울시 강남구 제과점영업 인허가 정보","보건","보건","인허가","제과점영업","강남구","보건/인허가/제과점영업"
"OA-17292","서울시 종로구 비디오물배급업 인허가 정보","문화/관광","문화관광","인허가","비디오물배급업","종로구","문화관광/인허가/비디오물배급업"
"OA-16971","서울시 광진구 국제회의시설업 인허가 정보","문화/관광","문화관광","인허가","국제회의시설업","광진구","문화관광/인허가/국제회의시설업"
"OA-18418","서울시 구로구 제과점영업 인허가 정보","보건","보건","인허가","제과점영업","구로구","보건/인허가/제과점영업"
"OA-16084","서울시 제과점영업 인허가 정보","보건","보건","인허가","제과점영업","citywide","보건/인허가/제과점영업"
"OA-17297","서울시 동대문구 비디오물배급업 인허가 정보","문화/관광","문화관광","인허가","비디오물배급업","동대문구","문화관광/인허가/비디오물배급업"
"OA-18420","서울시 영등포구 제과점영업 인허가 정보","보건","보건","인허가","제과점영업","영등포구","보건/인허가/제과점영업"
"OA-16822","서울시 동대문구 청소년게임제공업 인허가 정보","문화/관광","문화관광","인허가","청소년게임제공업","동대문구","문화관광/인허가/청소년게임제공업"
"OA-16857","서울시 강서구 공연장 인허가 정보","문화/관광","문화관광","인허가","공연장","강서구","문화관광/인허가/공연장"
"OA-16846","서울시 광진구 공연장 인허가 정보","문화/관광","문화관광","인허가","공연장","광진구","문화관광/인허가/공연장"
"OA-16850","서울시 강북구 공연장 인허가 정보","문화/관광","문화관광","인허가","공연장","강북구","문화관광/인허가/공연장"
"OA-10270","서울시 중랑구 청소년 유해업소 현황","문화/관광","문화관광","정보","업소","중랑구","문화관광/정보/업소"
"OA-17837","서울시 노원구 옥외광고업 인허가 정보","문화/관광","문화관광","인허가","옥외광고업","노원구","문화관광/인허가/옥외광고업"
"OA-10340","서울시 동대문구 기타 위생용품 제조업 공중위생업소 현황","보건","보건","정보","업소","동대문구","보건/정보/업소"
"OA-16863","서울시 서초구 공연장 인허가 정보","문화/관광","문화관광","인허가","공연장","서초구","문화관광/인허가/공연장"
"OA-12219","서울시 서대문구 문화행사 공공서비스예약 정보","문화/관광","문화관광","예약","예약","서대문구","문화관광/예약/예약"
"OA-12224","서울시 중구 교육 공공서비스예약 정보","문화/관광","문화관광","예약","예약","중구","문화관광/예약/예약"
"OA-16026","서울시 국제회의시설업 인허가 정보","문화/관광","문화관광","인허가","국제회의시설업","citywide","문화관광/인허가/국제회의시설업"
"OA-16907","서울시 강서구 관광극장유흥업 인허가 정보","문화/관광","문화관광","인허가","관광극장유흥업","강서구","문화관광/인허가/관광극장유흥업"
"OA-16431","서울시 중구 의료기기판매(임대)업 인허가 정보","보건","보건","인허가","의료기기판매(임대)업","중구","보건/인허가/의료기기판매(임대)업"
"OA-2219","서울시 권역별 실시간 대기환경 현황","환경","환경","정보","권역별","citywide","환경/정보/권역별"
"OA-12104","서울시 중랑구 교육 공공서비스예약 정보","문화/관광","문화관광","예약","예약","중랑구","문화관광/예약/예약"
"OA-10455","서울시 영등포구 전체 식품수거검사 현황","보건","보건","검사","검사","영등포구","보건/검사/검사"
"OA-18315","서울시 마포구 식품판매업(기타) 인허가 정보","보건","보건","인허가","유통","마포구","보건/인허가/유통"
"OA-10466","서울시 영등포구 모범음식점 취소 현황","보건","보건","정보","음식점","영등포구","보건/정보/음식점"
"OA-10492","서울시 은평구 위생처리업 공중위생업소 현황","보건","보건","정보","업소","은평구","보건/정보/업소"
"OA-10493","서울시 은평구 세척제 제조업 공중위생업소 현황","보건","보건","정보","업소","은평구","보건/정보/업소"
"OA-9914","서울시 광진구 공중위생업소 소재지별 운영 현황","보건","보건","정보","업소","광진구","보건/정보/업소"
"OA-17050","서울시 강북구 유원시설업(기타) 인허가 정보","문화/관광","문화관광","인허가","유원시설업(기타)","강북구","문화관광/인허가/유원시설업(기타)"
"OA-17904","서울시 용산구 미용업 인허가 정보","보건","보건","인허가","미용업","용산구","보건/인허가/미용업"
"OA-17992","서울시 강서구 위탁급식영업 인허가 정보","보건","보건","인허가","위탁급식영업","강서구","보건/인허가/위탁급식영업"
"OA-18329","서울시 용산구 용기·포장지제조업 인허가 정보","보건","보건","인허가","용기·포장지제조업","용산구","보건/인허가/용기·포장지제조업"
"OA-16490","서울시 안경업 인허가 정보","보건","보건","인허가","안경업","citywide","보건/인허가/안경업"
"OA-17851","서울시 강동구 옥외광고업 인허가 정보","문화/관광","문화관광","인허가","옥외광고업","강동구","문화관광/인허가/옥외광고업"
"OA-16516","서울시 종로구 동물약국 인허가 정보","보건","보건","인허가","약국","종로구","보건/인허가/약국"
"OA-16307","서울시 서초구 안전상비의약품 판매업소 인허가 정보","보건","보건","인허가","유통","서초구","보건/인허가/유통"
"OA-16458","서울시 광진구 치과기공소 인허가 정보","보건","보건","인허가","병원","광진구","보건/인허가/병원"
"OA-12227","서울시 중구 공공서비스예약 정보","문화/관광","문화관광","예약","예약","중구","문화관광/예약/예약"
"OA-17866","서울시 양천구 인쇄사 인허가 정보","문화/관광","문화관광","인허가","인쇄사","양천구","문화관광/인허가/인쇄사"
"OA-17863","서울시 은평구 인쇄사 인허가 정보","문화/관광","문화관광","인허가","인쇄사","은평구","문화관광/인허가/인쇄사"
"OA-18417","서울시 강서구 제과점영업 인허가 정보","보건","보건","인허가","제과점영업","강서구","보건/인허가/제과점영업"
"OA-17967","서울시 강서구 세탁업 인허가 정보","보건","보건","인허가","세탁업","강서구","보건/인허가/세탁업"
"OA-10578","서울시 동작구 청소년 유해업소 현황","문화/관광","문화관광","정보","업소","동작구","문화관광/정보/업소"
"OA-18133","서울시 중랑구 식육포장처리업 인허가 정보","보건","보건","인허가","식육포장처리업","중랑구","보건/인허가/식육포장처리업"
"OA-16032","서울시 종합유원시설업 인허가 정보","문화/관광","문화관광","인허가","종합유원시설업","citywide","문화관광/인허가/종합유원시설업"
"OA-12156","서울시 종로구 체육시설 공공서비스예약 정보","문화/관광","문화관광","예약","예약","종로구","문화관광/예약/예약"
"OA-17973","서울시 서초구 세탁업 인허가 정보","보건","보건","인허가","세탁업","서초구","보건/인허가/세탁업"
"OA-17955","서울시 성동구 세탁업 인허가 정보","보건","보건","인허가","세탁업","성동구","보건/인허가/세탁업"
"OA-17954","서울시 용산구 세탁업 인허가 정보","보건","보건","인허가","세탁업","용산구","보건/인허가/세탁업"
"OA-16493","서울시 용산구 동물병원 인허가 정보","보건","보건","인허가","병원","용산구","보건/인허가/병원"
"OA-17043","서울시 중구 유원시설업(기타) 인허가 정보","문화/관광","문화관광","인허가","유원시설업(기타)","중구","문화관광/인허가/유원시설업(기타)"
"OA-16547","서울시 중랑구 동물용의료용구판매업 인허가 정보","보건","보건","인허가","유통","중랑구","보건/인허가/유통"
"OA-16509","서울시 영등포구 동물병원 인허가 정보","보건","보건","인허가","병원","영등포구","보건/인허가/병원"
"OA-16503","서울시 서대문구 동물병원 인허가 정보","보건","보건","인허가","병원","서대문구","보건/인허가/병원"
"OA-16916","서울시 강동구 관광극장유흥업 인허가 정보","문화/관광","문화관광","인허가","관광극장유흥업","강동구","문화관광/인허가/관광극장유흥업"
"OA-16562","서울시 서초구 동물용의료용구판매업 인허가 정보","보건","보건","인허가","유통","서초구","보건/인허가/유통"
"OA-17088","서울시 서초구 일반유원시설업 인허가 정보","문화/관광","문화관광","인허가","일반유원시설업","서초구","문화관광/인허가/일반유원시설업"
"OA-17968","서울시 구로구 세탁업 인허가 정보","보건","보건","인허가","세탁업","구로구","보건/인허가/세탁업"
"OA-12095","서울시 동작구 공공서비스예약 정보","문화/관광","문화관광","예약","예약","동작구","문화관광/예약/예약"
"OA-17623","서울시 서초구 일반여행업 인허가 정보","문화/관광","문화관광","인허가","일반여행업","서초구","문화관광/인허가/일반여행업"
"OA-16518","서울시 용산구 동물약국 인허가 정보","보건","보건","인허가","약국","용산구","보건/인허가/약국"
"OA-17112","서울시 관악구 전통사찰 인허가 정보","문화/관광","문화관광","인허가","전통사찰","관악구","문화관광/인허가/전통사찰"
"OA-18045","서울시 영등포구 집단급식소식품판매업 인허가 정보","보건","보건","인허가","유통","영등포구","보건/인허가/유통"
"OA-16610","서울시 동작구 동물판매업 인허가 정보","산업/경제","산업경제","인허가","유통","동작구","산업경제/인허가/유통"
"OA-17107","서울시 강서구 전통사찰 인허가 정보","문화/관광","문화관광","인허가","전통사찰","강서구","문화관광/인허가/전통사찰"
"OA-16031","서울시 전통사찰 인허가 정보","문화/관광","문화관광","인허가","전통사찰","citywide","문화관광/인허가/전통사찰"
"OA-17997","서울시 관악구 위탁급식영업 인허가 정보","보건","보건","인허가","위탁급식영업","관악구","보건/인허가/위탁급식영업"
"OA-18381","서울시 광진구 유통전문판매업 인허가 정보","산업/경제","산업경제","인허가","유통","광진구","산업경제/인허가/유통"
"OA-17993","서울시 구로구 위탁급식영업 인허가 정보","보건","보건","인허가","위탁급식영업","구로구","보건/인허가/위탁급식영업"
"OA-16704","서울시 마포구 게임물제작업 인허가 정보","문화/관광","문화관광","인허가","게임물제작업","마포구","문화관광/인허가/게임물제작업"
"OA-18003","서울시 중구 집단급식소 인허가 정보","보건","보건","인허가","집단급식소","중구","보건/인허가/집단급식소"
"OA-16569","서울시 성동구 동물용의약품도매상 인허가 정보","보건","보건","인허가","동물용의약품도매상","성동구","보건/인허가/동물용의약품도매상"
"OA-17169","서울시 용산구 국제회의기획업 인허가 정보","문화/관광","문화관광","인허가","국제회의기획업","용산구","문화관광/인허가/국제회의기획업"
"OA-18013","서울시 은평구 집단급식소 인허가 정보","보건","보건","인허가","집단급식소","은평구","보건/인허가/집단급식소"
"OA-17190","서울시 송파구 국제회의기획업 인허가 정보","문화/관광","문화관광","인허가","국제회의기획업","송파구","문화관광/인허가/국제회의기획업"
"OA-17170","서울시 성동구 국제회의기획업 인허가 정보","문화/관광","문화관광","인허가","국제회의기획업","성동구","문화관광/인허가/국제회의기획업"
"OA-17179","서울시 서대문구 국제회의기획업 인허가 정보","문화/관광","문화관광","인허가","국제회의기획업","서대문구","문화관광/인허가/국제회의기획업"
"OA-16016","서울시 복합영상물제공업 인허가 정보","문화/관광","문화관광","인허가","복합영상물제공업","citywide","문화관광/인허가/복합영상물제공업"
"OA-17197","서울시 동대문구 대중문화예술기획업 인허가 정보","문화/관광","문화관광","인허가","대중문화예술기획업","동대문구","문화관광/인허가/대중문화예술기획업"
"OA-17206","서울시 양천구 대중문화예술기획업 인허가 정보","문화/관광","문화관광","인허가","대중문화예술기획업","양천구","문화관광/인허가/대중문화예술기획업"
"OA-17861","서울시 도봉구 인쇄사 인허가 정보","문화/관광","문화관광","인허가","인쇄사","도봉구","문화관광/인허가/인쇄사"
"OA-16720","서울시 성동구 복합영상물제공업 인허가 정보","문화/관광","문화관광","인허가","복합영상물제공업","성동구","문화관광/인허가/복합영상물제공업"
"OA-17196","서울시 광진구 대중문화예술기획업 인허가 정보","문화/관광","문화관광","인허가","대중문화예술기획업","광진구","문화관광/인허가/대중문화예술기획업"
"OA-17214","서울시 강남구 대중문화예술기획업 인허가 정보","문화/관광","문화관광","인허가","대중문화예술기획업","강남구","문화관광/인허가/대중문화예술기획업"
"OA-16035","서울시 대중문화예술기획업 인허가 정보","문화/관광","문화관광","인허가","대중문화예술기획업","citywide","문화관광/인허가/대중문화예술기획업"
"OA-17201","서울시 도봉구 대중문화예술기획업 인허가 정보","문화/관광","문화관광","인허가","대중문화예술기획업","도봉구","문화관광/인허가/대중문화예술기획업"
"OA-18077","서울시 종로구 건강기능식품일반판매업 인허가 정보","보건","보건","인허가","유통","종로구","보건/인허가/유통"
"OA-17991","서울시 양천구 위탁급식영업 인허가 정보","보건","보건","인허가","위탁급식영업","양천구","보건/인허가/위탁급식영업"
"OA-16533","서울시 금천구 동물약국 인허가 정보","보건","보건","인허가","약국","금천구","보건/인허가/약국"
"OA-16717","서울시 종로구 복합영상물제공업 인허가 정보","문화/관광","문화관광","인허가","복합영상물제공업","종로구","문화관광/인허가/복합영상물제공업"
"OA-18069","서울시 금천구 건강기능식품유통전문판매업 인허가 정보","보건","보건","인허가","유통","금천구","보건/인허가/유통"
"OA-17258","서울시 구로구 노래연습장업 인허가 정보","문화/관광","문화관광","인허가","노래연습장업","구로구","문화관광/인허가/노래연습장업"
"OA-17243","서울시 중구 노래연습장업 인허가 정보","문화/관광","문화관광","인허가","노래연습장업","중구","문화관광/인허가/노래연습장업"
"OA-18076","서울시 강동구 건강기능식품유통전문판매업 인허가 정보","보건","보건","인허가","유통","강동구","보건/인허가/유통"
"OA-18104","서울시 용산구 축산가공업 인허가 정보","보건","보건","인허가","축산가공업","용산구","보건/인허가/축산가공업"
"OA-18111","서울시 도봉구 축산가공업 인허가 정보","보건","보건","인허가","축산가공업","도봉구","보건/인허가/축산가공업"
"OA-16582","서울시 구로구 동물용의약품도매상 인허가 정보","보건","보건","인허가","동물용의약품도매상","구로구","보건/인허가/동물용의약품도매상"
"OA-18103","서울시 중구 축산가공업 인허가 정보","보건","보건","인허가","축산가공업","중구","보건/인허가/축산가공업"
"OA-17624","서울시 강남구 일반여행업 인허가 정보","문화/관광","문화관광","인허가","일반여행업","강남구","문화관광/인허가/일반여행업"
"OA-12208","서울시 마포구 진료 공공서비스예약 정보","문화/관광","문화관광","예약","예약","마포구","문화관광/예약/예약"
